datum,tijd,cat,counter,datetime,dag,tijduren,dagdeel,etmaalGemiddeldeTempGradenCelsius,zonneschijnUren,stralingJoulePerVierkanteCm,EtmaalNeerslagMM,gemLuchtdrukHectoPascal,Open,High,Low,Close,Volume,Adjusted Close
2015-03-04,09:06,roel alleen,1,2015-03-04T08:06:00Z,woensdag,9.1,ochtend,5.7,1.2,482,0.2,1025.8,481.220001,483.570007,478.799988,483.570007,0,483.570007
2015-03-03,14:03,roel alleen,1,2015-03-03T13:03:00Z,dinsdag,14.05,middag,5.3,3.4,546,3.6,1015,486.309998,486.790009,479.549988,480.059998,0,480.059998
2015-03-03,10:11,roel alleen,1,2015-03-03T09:11:00Z,dinsdag,10.1833333333333,ochtend,5.3,3.4,546,3.6,1015,486.309998,486.790009,479.549988,480.059998,0,480.059998
2015-03-03,08:42,roel alleen,1,2015-03-03T07:42:00Z,dinsdag,8.7,ochtend,5.3,3.4,546,3.6,1015,486.309998,486.790009,479.549988,480.059998,0,480.059998
2015-03-02,13:12,roel alleen,1,2015-03-02T12:12:00Z,maandag,13.2,middag,5.7,6.9,840,0.2,1005.7,484.359985,487.01001,483.369995,485.839996,0,485.839996
2015-03-02,09:21,roel alleen,1,2015-03-02T08:21:00Z,maandag,9.35,ochtend,5.7,6.9,840,0.2,1005.7,484.359985,487.01001,483.369995,485.839996,0,485.839996
2015-03-01,16:15,roel alleen,1,2015-03-01T15:15:00Z,zondag,16.25,middag,8.1,7.9,1079,7.3,998.9,NA,NA,NA,NA,NA,NA
2015-03-01,12:06,roel alleen,1,2015-03-01T11:06:00Z,zondag,12.1,middag,8.1,7.9,1079,7.3,998.9,NA,NA,NA,NA,NA,NA
2015-03-01,09:50,roel alleen,1,2015-03-01T08:50:00Z,zondag,9.83333333333333,ochtend,8.1,7.9,1079,7.3,998.9,NA,NA,NA,NA,NA,NA
2015-03-01,09:31,roel alleen,1,2015-03-01T08:31:00Z,zondag,9.51666666666667,ochtend,8.1,7.9,1079,7.3,998.9,NA,NA,NA,NA,NA,NA
2015-02-28,20:51,roel alleen,1,2015-02-28T19:51:00Z,zaterdag,20.85,avond,5.3,3.6,754,-0.1,1012.3,NA,NA,NA,NA,NA,NA
2015-02-28,15:35,roel alleen,1,2015-02-28T14:35:00Z,zaterdag,15.5833333333333,middag,5.3,3.6,754,-0.1,1012.3,NA,NA,NA,NA,NA,NA
2015-02-28,10:44,roel alleen,1,2015-02-28T09:44:00Z,zaterdag,10.7333333333333,ochtend,5.3,3.6,754,-0.1,1012.3,NA,NA,NA,NA,NA,NA
2015-02-28,10:22,roel alleen,1,2015-02-28T09:22:00Z,zaterdag,10.3666666666667,ochtend,5.3,3.6,754,-0.1,1012.3,NA,NA,NA,NA,NA,NA
2015-02-28,10:20,roel alleen,1,2015-02-28T09:20:00Z,zaterdag,10.3333333333333,ochtend,5.3,3.6,754,-0.1,1012.3,NA,NA,NA,NA,NA,NA
2015-02-27,13:08,roel alleen,1,2015-02-27T12:08:00Z,vrijdag,13.1333333333333,middag,4.1,7.5,822,0,1017.3,482.380005,483.929993,479.929993,483.929993,0,483.929993
2015-02-27,10:39,roel alleen,1,2015-02-27T09:39:00Z,vrijdag,10.65,ochtend,4.1,7.5,822,0,1017.3,482.380005,483.929993,479.929993,483.929993,0,483.929993
2015-02-27,09:43,roel alleen,1,2015-02-27T08:43:00Z,vrijdag,9.71666666666667,ochtend,4.1,7.5,822,0,1017.3,482.380005,483.929993,479.929993,483.929993,0,483.929993
2015-02-26,14:28,roel alleen,1,2015-02-26T13:28:00Z,donderdag,14.4666666666667,middag,6.5,0,240,8,1012.8,478.790009,482.609985,477.899994,482.470001,0,482.470001
2015-02-26,09:28,roel alleen,1,2015-02-26T08:28:00Z,donderdag,9.46666666666667,ochtend,6.5,0,240,8,1012.8,478.790009,482.609985,477.899994,482.470001,0,482.470001
2015-02-25,11:58,roel alleen,1,2015-02-25T10:58:00Z,woensdag,11.9666666666667,ochtend,4.5,2.7,353,2.3,1015.9,479.799988,481.089996,477.059998,478.529999,0,478.529999
2015-02-25,10:41,roel alleen,1,2015-02-25T09:41:00Z,woensdag,10.6833333333333,ochtend,4.5,2.7,353,2.3,1015.9,479.799988,481.089996,477.059998,478.529999,0,478.529999
2015-02-25,08:57,roel alleen,1,2015-02-25T07:57:00Z,woensdag,8.95,ochtend,4.5,2.7,353,2.3,1015.9,479.799988,481.089996,477.059998,478.529999,0,478.529999
2015-02-24,13:06,roel alleen,1,2015-02-24T12:06:00Z,dinsdag,13.1,middag,5.8,5.8,785,3.7,1003.2,476.049988,480.600006,475.75,479.940002,0,479.940002
2015-02-24,11:36,roel alleen,1,2015-02-24T10:36:00Z,dinsdag,11.6,ochtend,5.8,5.8,785,3.7,1003.2,476.049988,480.600006,475.75,479.940002,0,479.940002
2015-02-24,09:20,roel alleen,1,2015-02-24T08:20:00Z,dinsdag,9.33333333333333,ochtend,5.8,5.8,785,3.7,1003.2,476.049988,480.600006,475.75,479.940002,0,479.940002
2015-02-23,15:52,roel alleen,1,2015-02-23T14:52:00Z,maandag,15.8666666666667,middag,6.2,6.1,842,2,992.3,474.119995,475.220001,472.5,475.220001,0,475.220001
2015-02-23,11:56,roel alleen,1,2015-02-23T10:56:00Z,maandag,11.9333333333333,ochtend,6.2,6.1,842,2,992.3,474.119995,475.220001,472.5,475.220001,0,475.220001
2015-02-23,11:10,roel alleen,1,2015-02-23T10:10:00Z,maandag,11.1666666666667,ochtend,6.2,6.1,842,2,992.3,474.119995,475.220001,472.5,475.220001,0,475.220001
2015-02-23,09:20,roel alleen,1,2015-02-23T08:20:00Z,maandag,9.33333333333333,ochtend,6.2,6.1,842,2,992.3,474.119995,475.220001,472.5,475.220001,0,475.220001
2015-02-22,16:33,roel alleen,1,2015-02-22T15:33:00Z,zondag,16.55,middag,3.1,6.9,779,4.3,1004.7,NA,NA,NA,NA,NA,NA
2015-02-22,11:44,roel alleen,1,2015-02-22T10:44:00Z,zondag,11.7333333333333,ochtend,3.1,6.9,779,4.3,1004.7,NA,NA,NA,NA,NA,NA
2015-02-22,10:07,roel alleen,1,2015-02-22T09:07:00Z,zondag,10.1166666666667,ochtend,3.1,6.9,779,4.3,1004.7,NA,NA,NA,NA,NA,NA
2015-02-21,09:35,roel alleen,1,2015-02-21T08:35:00Z,zaterdag,9.58333333333333,ochtend,3.9,1.7,509,2.1,999.1,NA,NA,NA,NA,NA,NA
2015-02-20,14:43,roel alleen,1,2015-02-20T13:43:00Z,vrijdag,14.7166666666667,middag,5.3,0,125,22.9,1005.4,468.980011,469.850006,466.149994,469.850006,0,469.850006
2015-02-20,11:12,roel alleen,1,2015-02-20T10:12:00Z,vrijdag,11.2,ochtend,5.3,0,125,22.9,1005.4,468.980011,469.850006,466.149994,469.850006,0,469.850006
2015-02-19,14:43,roel alleen,1,2015-02-19T13:43:00Z,donderdag,14.7166666666667,middag,3.9,8.8,912,1.2,1024.1,466.929993,470.450012,465.459991,469.790009,0,469.790009
2015-02-19,11:00,roel alleen,1,2015-02-19T10:00:00Z,donderdag,11,ochtend,3.9,8.8,912,1.2,1024.1,466.929993,470.450012,465.459991,469.790009,0,469.790009
2015-02-19,10:03,roel alleen,1,2015-02-19T09:03:00Z,donderdag,10.05,ochtend,3.9,8.8,912,1.2,1024.1,466.929993,470.450012,465.459991,469.790009,0,469.790009
2015-02-18,13:16,roel alleen,1,2015-02-18T12:16:00Z,woensdag,13.2666666666667,middag,2.5,8.8,948,0,1037.6,465.880005,467.320007,465.279999,467.320007,0,467.320007
2015-02-18,11:38,roel alleen,1,2015-02-18T10:38:00Z,woensdag,11.6333333333333,ochtend,2.5,8.8,948,0,1037.6,465.880005,467.320007,465.279999,467.320007,0,467.320007
2015-02-18,09:28,roel alleen,1,2015-02-18T08:28:00Z,woensdag,9.46666666666667,ochtend,2.5,8.8,948,0,1037.6,465.880005,467.320007,465.279999,467.320007,0,467.320007
2015-02-17,14:00,roel alleen,1,2015-02-17T13:00:00Z,dinsdag,14,middag,3.7,5.4,677,0.1,1033.5,460.179993,464.410004,457.869995,463.420013,0,463.420013
2015-02-17,10:12,roel alleen,1,2015-02-17T09:12:00Z,dinsdag,10.2,ochtend,3.7,5.4,677,0.1,1033.5,460.179993,464.410004,457.869995,463.420013,0,463.420013
2015-02-17,09:33,roel alleen,1,2015-02-17T08:33:00Z,dinsdag,9.55,ochtend,3.7,5.4,677,0.1,1033.5,460.179993,464.410004,457.869995,463.420013,0,463.420013
2015-02-16,14:26,roel alleen,1,2015-02-16T13:26:00Z,maandag,14.4333333333333,middag,1.3,7.9,764,0,1018.3,465.140015,465.369995,462,462.820007,0,462.820007
2015-02-16,11:46,roel alleen,1,2015-02-16T10:46:00Z,maandag,11.7666666666667,ochtend,1.3,7.9,764,0,1018.3,465.140015,465.369995,462,462.820007,0,462.820007
2015-02-16,09:49,roel alleen,1,2015-02-16T08:49:00Z,maandag,9.81666666666667,ochtend,1.3,7.9,764,0,1018.3,465.140015,465.369995,462,462.820007,0,462.820007
2015-02-15,14:56,roel alleen,1,2015-02-15T13:56:00Z,zondag,14.9333333333333,middag,3.5,8.6,812,0,1014.5,NA,NA,NA,NA,NA,NA
2015-02-15,09:42,roel alleen,1,2015-02-15T08:42:00Z,zondag,9.7,ochtend,3.5,8.6,812,0,1014.5,NA,NA,NA,NA,NA,NA
2015-02-15,09:27,roel alleen,1,2015-02-15T08:27:00Z,zondag,9.45,ochtend,3.5,8.6,812,0,1014.5,NA,NA,NA,NA,NA,NA
2015-02-14,14:31,roel alleen,1,2015-02-14T13:31:00Z,zaterdag,14.5166666666667,middag,6.8,1.2,321,-0.1,1007.2,NA,NA,NA,NA,NA,NA
2015-02-14,10:44,roel alleen,1,2015-02-14T09:44:00Z,zaterdag,10.7333333333333,ochtend,6.8,1.2,321,-0.1,1007.2,NA,NA,NA,NA,NA,NA
2015-02-14,10:18,roel alleen,1,2015-02-14T09:18:00Z,zaterdag,10.3,ochtend,6.8,1.2,321,-0.1,1007.2,NA,NA,NA,NA,NA,NA
2015-02-13,11:24,roel alleen,1,2015-02-13T10:24:00Z,vrijdag,11.4,ochtend,6,6.4,705,-0.1,1011.1,462.429993,466.059998,461.859985,464.899994,0,464.899994
2015-02-12,21:07,roel alleen,1,2015-02-12T20:07:00Z,donderdag,21.1166666666667,avond,3.8,0,178,0,1020.9,457.709991,463.790009,457.709991,460.429993,0,460.429993
2015-02-12,15:39,roel alleen,1,2015-02-12T14:39:00Z,donderdag,15.65,middag,3.8,0,178,0,1020.9,457.709991,463.790009,457.709991,460.429993,0,460.429993
2015-02-12,15:29,roel alleen,1,2015-02-12T14:29:00Z,donderdag,15.4833333333333,middag,3.8,0,178,0,1020.9,457.709991,463.790009,457.709991,460.429993,0,460.429993
2015-02-12,13:13,roel alleen,1,2015-02-12T12:13:00Z,donderdag,13.2166666666667,middag,3.8,0,178,0,1020.9,457.709991,463.790009,457.709991,460.429993,0,460.429993
2015-02-11,16:08,roel alleen,1,2015-02-11T15:08:00Z,woensdag,16.1333333333333,middag,4.3,0,170,0,1025.7,455.649994,459.059998,454.829987,458.269989,0,458.269989
2015-02-11,09:56,roel alleen,1,2015-02-11T08:56:00Z,woensdag,9.93333333333333,ochtend,4.3,0,170,0,1025.7,455.649994,459.059998,454.829987,458.269989,0,458.269989
2015-02-10,15:56,roel alleen,1,2015-02-10T14:56:00Z,dinsdag,15.9333333333333,middag,5.7,0,142,-0.1,1032.2,451.5,456.029999,449.540009,453.799988,0,453.799988
2015-02-10,14:52,roel alleen,1,2015-02-10T13:52:00Z,dinsdag,14.8666666666667,middag,5.7,0,142,-0.1,1032.2,451.5,456.029999,449.540009,453.799988,0,453.799988
2015-02-10,10:31,roel alleen,1,2015-02-10T09:31:00Z,dinsdag,10.5166666666667,ochtend,5.7,0,142,-0.1,1032.2,451.5,456.029999,449.540009,453.799988,0,453.799988
2015-02-10,09:28,roel alleen,1,2015-02-10T08:28:00Z,dinsdag,9.46666666666667,ochtend,5.7,0,142,-0.1,1032.2,451.5,456.029999,449.540009,453.799988,0,453.799988
2015-02-09,14:52,roel alleen,1,2015-02-09T13:52:00Z,maandag,14.8666666666667,middag,5.6,0.7,245,-0.1,1031.3,451.100006,451.640015,447.23999,450.959991,0,450.959991
2015-02-09,13:28,roel alleen,1,2015-02-09T12:28:00Z,maandag,13.4666666666667,middag,5.6,0.7,245,-0.1,1031.3,451.100006,451.640015,447.23999,450.959991,0,450.959991
