"","datum","tijd","Roelalleen","Drealleen","samen","cat","datetime","counter"
"137",2015-03-25,"16:34",1,0,0,"roel alleen",2015-03-25 16:34:00,1
"138",2015-03-25,"14:43",1,0,0,"roel alleen",2015-03-25 14:43:00,1
"139",2015-03-25,"13:59",1,0,0,"roel alleen",2015-03-25 13:59:00,1
"140",2015-03-25,"10:28",1,0,0,"roel alleen",2015-03-25 10:28:00,1
"141",2015-03-24,"11:33",1,0,0,"roel alleen",2015-03-24 11:33:00,1
"142",2015-03-23,"14:57",1,0,0,"roel alleen",2015-03-23 14:57:00,1
"143",2015-03-23,"13:21",1,0,0,"roel alleen",2015-03-23 13:21:00,1
"144",2015-03-23,"09:49",1,0,0,"roel alleen",2015-03-23 09:49:00,1
"145",2015-03-22,"11:58",1,0,0,"roel alleen",2015-03-22 11:58:00,1
"146",2015-03-22,"11:14",1,0,0,"roel alleen",2015-03-22 11:14:00,1
"147",2015-03-21,"16:42",1,0,0,"roel alleen",2015-03-21 16:42:00,1
"148",2015-03-21,"11:57",1,0,0,"roel alleen",2015-03-21 11:57:00,1
"149",2015-03-21,"11:32",1,0,0,"roel alleen",2015-03-21 11:32:00,1
"150",2015-03-20,"10:14",1,0,0,"roel alleen",2015-03-20 10:14:00,1
"151",2015-03-20,"09:20",1,0,0,"roel alleen",2015-03-20 09:20:00,1
"152",2015-03-19,"09:43",1,0,0,"roel alleen",2015-03-19 09:43:00,1
"153",2015-03-18,"13:21",1,0,0,"roel alleen",2015-03-18 13:21:00,1
"154",2015-03-18,"10:44",1,0,0,"roel alleen",2015-03-18 10:44:00,1
"155",2015-03-17,"11:04",1,0,0,"roel alleen",2015-03-17 11:04:00,1
"156",2015-03-17,"09:02",1,0,0,"roel alleen",2015-03-17 09:02:00,1
"157",2015-03-16,"10:42",1,0,0,"roel alleen",2015-03-16 10:42:00,1
"158",2015-03-16,"09:50",1,0,0,"roel alleen",2015-03-16 09:50:00,1
"159",2015-03-15,"14:20",1,0,0,"roel alleen",2015-03-15 14:20:00,1
"160",2015-03-13,"12:01",1,0,0,"roel alleen",2015-03-13 12:01:00,1
"161",2015-03-13,"09:05",1,0,0,"roel alleen",2015-03-13 09:05:00,1
"162",2015-03-12,"10:40",1,0,0,"roel alleen",2015-03-12 10:40:00,1
"163",2015-03-12,"10:01",1,0,0,"roel alleen",2015-03-12 10:01:00,1
"164",2015-03-11,"15:19",1,0,0,"roel alleen",2015-03-11 15:19:00,1
"165",2015-03-11,"12:33",1,0,0,"roel alleen",2015-03-11 12:33:00,1
"166",2015-03-11,"09:50",1,0,0,"roel alleen",2015-03-11 09:50:00,1
"167",2015-03-11,"08:36",1,0,0,"roel alleen",2015-03-11 08:36:00,1
"168",2015-03-10,"09:48",1,0,0,"roel alleen",2015-03-10 09:48:00,1
"169",2015-03-10,"08:19",1,0,0,"roel alleen",2015-03-10 08:19:00,1
"170",2015-03-09,"10:02",1,0,0,"roel alleen",2015-03-09 10:02:00,1
"171",2015-03-08,"09:37",1,0,0,"roel alleen",2015-03-08 09:37:00,1
"172",2015-03-08,"09:24",1,0,0,"roel alleen",2015-03-08 09:24:00,1
"173",2015-03-07,"13:48",1,0,0,"roel alleen",2015-03-07 13:48:00,1
